,0,1,2
"[10, 4, 10]",-0.5525876669452039,-0.4695814269119428,-0.5528443480185931
"[5, 2, 6]",-0.733958110431897,-0.6279942672404241,-0.541904437376465
"[19, 11, 18]",-0.625113352154316,-0.5982263100277267,-0.621738403191357
"[17, 10, 16]",-0.48988124091876295,-0.6073253673085804,-0.746639001146808
"[16, 8, 15]",-0.4820638659505581,-0.5662640084288336,-0.5385957585190957
"[14, 7, 13]",-0.633714354820766,-0.5687938114099647,-0.5549057883274608
"[14, 6, 10]",-0.4677196838803108,-0.5132599544884645,-0.5954632411653773
"[11, 6, 9]",-0.6010522688677529,-0.6304115071444569,-0.47068471836065784
"[9, 3, 8]",-0.6259842546527998,-0.46764611810842993,-1.2444609526895802
"[7, 2, 6]",-0.5280524898913932,-0.594341626755803,-0.682975802762471
"[20, 11, 17]",-0.7825932522553773,-0.6594439595955073,-0.3833280000178032
"[16, 11, 17]",-0.49853148982638185,-0.5053879709987683,-0.512952136263391
"[16, 6, 13]",-0.5016884051604795,-0.4687931010013844,-0.49729896480055047
"[12, 6, 11]",-0.502777669654127,-0.5371996787649276,-0.5625647085882193
"[8, 1, 9]",-0.47480543531672387,-0.5272488724985638,-0.6300524355388112
"[5, 1, 6]",-0.7264243832996209,-0.41005907187744345,-0.657704184101823
"[15, 9, 18]",-0.7356113792597914,-0.606015767508024,-0.49614302383537806
"[12, 8, 16]",-0.887058333622881,-0.42243445945616165,-0.5034786829795823
"[12, 6, 14]",-0.15280381492229755,-0.5350632481719106,-0.5543188707520846
"[8, 5, 12]",-0.5551294275313318,-0.5101137574799168,-0.5270952816192354
"[6, 5, 10]",-0.5520300278398793,-0.6025066153710286,-0.6132806041854527
"[5, 3, 8]",-0.5405564409387786,-0.7212041462198937,-0.6225331499121696
"[3, 3, 6]",-0.36444404908482225,-0.5640873141254059,-0.6437640387822673
"[19, 12, 17]",-0.5229997488044307,-0.7380022739059326,-0.7517742335005709
"[19, 12, 13]",-0.39817554321693727,-0.4971209250595361,-0.5187234852495791
"[18, 11, 11]",-0.4629681468600121,-0.7772391831606906,-0.6407518314282918
"[17, 8, 10]",-0.5880267172912987,-0.507460896950008,-0.6677815394053649
"[11, 8, 9]",-0.5341626709379781,-0.5380461696879729,-0.4694220142939166
"[8, 5, 8]",-0.5342506828357488,-0.5312346027914135,-0.5392421799183569
"[6, 4, 4]",-0.5908961111793035,-0.648762053962717,-0.6596397312843317
"[17, 9, 15]",-0.562146492327265,-0.5866246411209738,-0.49557052544069696
"[16, 7, 13]",-0.5623294170611232,-0.4881429175100471,-0.60827021502314
"[14, 6, 12]",-0.5584894407987915,-0.5222986308398252,-0.47137278353445233
"[7, 5, 7]",-0.604407346696157,-0.505536372524723,-0.5475840000664512
"[6, 3, 6]",-0.48641892904520756,-0.5653379741394499,-0.4030292228153691
"[6, 2, 3]",-0.8724601608301108,-0.752764047610097,-0.7716007115869521
"[18, 12, 18]",-0.6975903081832235,-0.6286343549815876,-0.4068718305273952
"[16, 8, 18]",-0.3885512721374773,-0.5617728471608165,-0.5424773632428509
"[15, 8, 15]",-0.545835659410056,-0.6677483540630949,-0.48209294099355093
"[13, 8, 13]",-0.5814078567597143,-0.48196882423623755,-0.5673731884898581
"[10, 5, 9]",-0.7554833743900413,-0.5780179326538676,-0.46147214625275174
"[7, 4, 7]",-0.6165790812088668,-0.6698111924041499,-0.7018449374326199
"[19, 9, 19]",-0.7499743285988996,-0.5203863982591845,-0.7446720262745843
"[19, 8, 16]",-0.4718757953123083,-0.6233913335795918,-0.47766770719897755
"[19, 6, 14]",-0.5638818354360726,-0.45747186321677846,-0.47713826224184386
"[18, 5, 10]",-0.16999190898921293,0.0,-0.2922205360288749
"[16, 5, 8]",-0.47538811933396646,-0.559187631607278,-0.3648813630364002
"[15, 4, 6]",-0.42785706466845475,-0.43687666945845793,-0.4876518810677377
"[10, 4, 5]",-0.45509770556003915,-0.5300239831720186,-0.7146295695163292
"[6, 2, 5]",-0.4975271891346227,-0.6036101552850539,-0.49042267549414753
